code;2022
SK0101528595;4867.56
SK0102529311;552.51
SK0102529320;2049
SK0102529338;1989.28
SK0103529346;1194.11
SK0103529354;1099.21
SK0103529362;448.31
SK0104529371;706.71
SK0104529389;4149.86
SK0104529397;3218.76
SK0104529401;141.92
SK0104529419;1188.18
SK0104529427;219.6
SK0105529435;91.78
SK0105529443;135.01
SK0105529460;3950.33
SK0105529494;173.53
SK0106500267;0.5
SK0106504556;78.57
SK0106504629;33.91
SK0106504637;27.57
SK0106504769;130.41
SK0106504858;43.99
SK0106504874;108.21
SK0106504947;141.13
SK0106504980;109.32
SK0106507831;56.61
SK0106507890;62.13
SK0106507954;106.69
SK0106507962;84.64
SK0106508012;123.71
SK0106508021;39.59
SK0106508039;76.58
SK0106508055;70.56
SK0106508063;694.12
SK0106508080;708.55
SK0106508161;33.21
SK0106508195;105.91
SK0106508233;187.6
SK0106508241;44.5
SK0106508349;67.08
SK0106508365;142.61
SK0106508381;171.04
SK0107507806;176.41
SK0107507849;83.1
SK0107507857;67.75
SK0107507873;47.79
SK0107507881;84.06
SK0107507946;116.39
SK0107507989;149.12
SK0107508047;154.18
SK0107508101;187.63
SK0107508179;339.87
SK0107508187;745.31
SK0107508225;554.41
SK0107508250;213.22
SK0107508268;58.32
SK0107508306;287.07
SK0107508314;295.08
SK0107508322;69.25
SK0108503681;113.89
SK0108503797;260.93
SK0108503801;172.39
SK0108503819;116.02
SK0108503851;101.58
SK0108503894;116.19
SK0108503983;171.25
SK0108507814;328.9
SK0108507822;111.38
SK0108507865;93.22
SK0108507903;250.47
SK0108507911;479.72
SK0108507938;499.79
SK0108507997;115.47
SK0108508071;460.91
SK0108508098;491.84
SK0108508110;218.88
SK0108508136;329.17
SK0108508209;635.54
SK0108508217;519.81
SK0108508276;139.04
SK0108508284;233.65
SK0108508292;298.41
SK0108508331;116.23
SK0108545333;291.9
SK0108555487;69.43
SK0108555495;170.35
SK0108555509;382.98
SK0108582549;12.2
SK0211501433;729.73
SK0211501441;142.62
SK0211501450;56.76
SK0211501468;45.54
SK0211501484;33.49
